x1,x2
제1445차 성남 수내동 파크타운삼익아파트 담보상품#2순위,수익률(연)9.5%?투자기간12개월?등급B2?모집금액3억원?투자인원627명
제1446차 은평 신사동 라이프씨티아파트 리파이낸싱#2순위,"수익률(연)9%?투자기간6개월?등급A2?모집금액5,000만원?투자인원110명"
제1444차 금천 독산동 한신아파트 리파이낸싱#2순위,"수익률(연)9%?투자기간6개월?등급A2?모집금액6,000만원?투자인원119명"
제1443차 중구 신당동 단독주택 담보대출 20차#2순위,수익률(연)8.5%?투자기간3개월?등급A2?모집금액1억원?투자인원184명
제1441차 중구 신당동 단독주택 담보대출 19차#2순위,수익률(연)8.5%?투자기간3개월?등급A2?모집금액1억원?투자인원164명
제1439차 평택 국가산업단지 인근 다세대 신축 리파이낸싱 6차#1순위,수익률(연)13%?투자기간6개월?등급C1?모집금액2억원?투자인원345명
제1438차 중구 신당동 단독주택 담보대출 18차#2순위,"수익률(연)8.5%?투자기간3개월?등급A2?모집금액1억5,000만원?투자인원259명"
제1437차 중구 신당동 단독주택 담보대출 17차#2순위 #법인전용상품,"수익률(연)8.5%?투자기간3개월?등급A2?모집금액2억7,000만원?투자인원2명"
제1436차 마포 도화동 삼성아파트 리파이낸싱#2순위,"수익률(연)9%?투자기간6개월?등급A2?모집금액8,000만원?투자인원110명"
제1434차 서산 테크노밸리 근린생활시설 신축사업 29차#1순위,"수익률(연)14.5%?투자기간7개월?등급C3?모집금액5,000만원?투자인원70명"
제1432차 하남 덕풍동 풍산아이파크아파트 리파이낸싱#2순위,"수익률(연)9%?투자기간6개월?등급A2?모집금액1억2,000만원?투자인원284명"
제1431차 중구 신당동 단독주택 담보대출 16차#2순위,"수익률(연)8.5%?투자기간3개월?등급A2?모집금액1억5,000만원?투자인원306명"
제1430차 평택 국가산업단지 인근 다세대 신축 리파이낸싱 5차#1순위,수익률(연)13%?투자기간6개월?등급C1?모집금액4억원?투자인원598명
제1428차 중구 신당동 단독주택 담보대출 15차#2순위,수익률(연)8.5%?투자기간3개월?등급A2?모집금액1억원?투자인원196명
제1427차 아산 유신빌딩 담보대출 리파이낸싱 14차#2순위,"수익률(연)13.5%?투자기간6개월?등급C2?모집금액5,000만원?투자인원82명"
제1426차 용인 중동 신동백롯데캐슬 리파이낸싱#2순위,"수익률(연)9%?투자기간7개월?등급A2?모집금액8,000만원?투자인원200명"
제1425차 금천 시흥동 삼익아파트 리파이낸싱#2순위,"수익률(연)9.5%?투자기간6개월?등급A3?모집금액8,000만원?투자인원242명"
제1423차 용인 메종 포레스트 타운하우스 A 신축 리파이낸싱 7차#1순위,"수익률(연)12.56%?투자기간2개월?등급B2?모집금액3억5,000만원?투자인원585명"
제1422차 강남 청담동 공동주택 신축사업 7차#1순위,수익률(연)11.7%?투자기간5개월?등급A3?모집금액2억원?투자인원423명
제1421차 캠프 험프리 미군 렌탈하우스C 신축사업 17차#1순위,"수익률(연)13.1%?투자기간2개월?등급C1?모집금액5,000만원?투자인원64명"
제1420차 수원 북수동 상가주택 신축사업A 5차#2순위,"수익률(연)15%?투자기간7개월?등급D2?모집금액5,000만원?투자인원122명"
제1419차 용산 신계동 이편한세상 담보상품#2순위,수익률(연)8.5%?투자기간6개월?등급A3?모집금액2억원?투자인원246명
제1418차 아산 유신빌딩 담보대출 리파이낸싱 13차#2순위,"수익률(연)13.5%?투자기간6개월?등급C2?모집금액6,000만원?투자인원83명"
제1417차 평택 국가산업단지 인근 다세대 신축 리파이낸싱 4차#1순위,수익률(연)13%?투자기간6개월?등급C1?모집금액5억원?투자인원910명
제1416차 전주 만성지구 나눔둥지타운 상가 신축사업 9차#1순위 #법인전용상품,"수익률(연)12%?투자기간14개월?등급B2?모집금액2억5,000만원?투자인원1명"
제1414차 평택 국가산업단지 인근 다세대 신축 리파이낸싱 3차#1순위,수익률(연)13%?투자기간6개월?등급C1?모집금액3억원?투자인원631명
제1413차 아산 유신빌딩 담보대출 리파이낸싱 12차#2순위,"수익률(연)13.5%?투자기간6개월?등급C2?모집금액5,000만원?투자인원104명"
제1410차 부산 화명동 롯데낙천대 아파트 리파이낸싱#2순위,"수익률(연)9%?투자기간6개월?등급A3?모집금액7,000만원?투자인원224명"
제1409차 캠프 험프리 미군 렌탈하우스B 신축사업 17차#1순위,"수익률(연)13.3%?투자기간1개월?등급C1?모집금액5,000만원?투자인원49명"
제1408차 캠프 험프리 미군 렌탈하우스A 신축사업 18차#1순위,"수익률(연)13.1%?투자기간1개월?등급C1?모집금액5,000만원?투자인원65명"
제1407차 중구 신당동 단독주택 담보대출 14차#2순위,수익률(연)8.5%?투자기간3개월?등급A2?모집금액1억원?투자인원265명
제1406차 아산 유신빌딩 담보대출 리파이낸싱 11차#2순위,"수익률(연)13.5%?투자기간6개월?등급C2?모집금액7,000만원?투자인원132명"
제1405차 해운대구 중동 롯데캐슬마린아파트 리파이낸싱 3차#2순위,"수익률(연)9%?투자기간6개월?등급A3?모집금액5,000만원?투자인원126명"
제1403차 중구 신당동 단독주택 담보대출 13차#2순위,수익률(연)8.5%?투자기간3개월?등급A2?모집금액1억원?투자인원253명
제1402차 평택 국가산업단지 인근 다세대 신축 리파이낸싱 2차#1순위,"수익률(연)13%?투자기간6개월?등급C1?모집금액8억원?투자인원1,673명"
제1401차 강남 청담동 진흥아파트 리파이낸싱 2차#2순위,수익률(연)8.5%?투자기간6개월?등급A2?모집금액1억원?투자인원222명
제1400차 서산 테크노밸리 근린생활시설 신축사업 28차#1순위,"수익률(연)14.5%?투자기간7개월?등급C3?모집금액5,000만원?투자인원78명"
제1398차 아산 유신빌딩 담보대출 리파이낸싱 10차#2순위,"수익률(연)13.5%?투자기간6개월?등급C2?모집금액7,000만원?투자인원67명"
제1397차 부산 화명동 롯데낙천대아파트 리파이낸싱 2차#2순위,"수익률(연)9%?투자기간6개월?등급A2?모집금액5,000만원?투자인원80명"
제1393차 용인 상현동 광교스타클래스 리파이낸싱#2순위,"수익률(연)9%?투자기간6개월?등급A2?모집금액1억2,000만원?투자인원299명"
제1392차 해운대구 중동 롯데캐슬마린아파트 리파이낸싱 2차#2순위,"수익률(연)9%?투자기간6개월?등급A3?모집금액3,000만원?투자인원69명"
제1391차 서초 양재동 대흥아파트 리파이낸싱 3차#2순위,"수익률(연)9.5%?투자기간6개월?등급A3?모집금액3,000만원?투자인원62명"
제1389차 중구 신당동 단독주택 담보대출 12차#2순위,수익률(연)8.5%?투자기간3개월?등급A2?모집금액1억원?투자인원204명
제1388차 아산 유신빌딩 담보대출 리파이낸싱 9차#2순위,"수익률(연)13.5%?투자기간6개월?등급C2?모집금액5,000만원?투자인원62명"
제1387차 평택 국가산업단지 인근 다세대 신축 리파이낸싱#1순위,"수익률(연)13%?투자기간6개월?등급C1?모집금액8억원?투자인원1,549명"
제1384차 양천 신정동 목동신시가지 담보상품 3차#2순위 #법인전용상품,"수익률(연)8.8%?투자기간6개월?등급A3?모집금액3,000만원?투자인원1명"
제1383차 서귀포 산방산 타운하우스 신축사업 6차#1순위,수익률(연)12.77%?투자기간7개월?등급B3?모집금액3억원?투자인원781명
제1382차 아산 유신빌딩 담보대출 리파이낸싱 8차#2순위,"수익률(연)13.5%?투자기간6개월?등급C2?모집금액5,000만원?투자인원113명"
제1380차 서울 서교동 다세대 신축사업 2차#2순위,"수익률(연)14%?투자기간11개월?등급D2?모집금액1억7,000만원?투자인원352명"
제1379차 중구 신당동 단독주택 담보대출 11차#2순위,수익률(연)8.5%?투자기간3개월?등급A2?모집금액1억원?투자인원169명
제1378차 서초 양재동 대흥아파트 리파이낸싱 2차#2순위,"수익률(연)9.5%?투자기간6개월?등급A3?모집금액5,000만원?투자인원97명"
제1377차 용산 효창동 로즈아파트 리파이낸싱#2순위,"수익률(연)9%?투자기간6개월?등급A2?모집금액5,000만원?투자인원164명"
제1373차 인천 용현동 오피스텔 및 근린상가 신축사업 12차#1순위,"수익률(연)12%?투자기간8개월?등급B1?모집금액1억5,000만원?투자인원366명"
