"x1","x2","번호","지역","지역2","순위","차수","수익률","투자기간","등급","모집금액","투자인원","TARGET"
"제1215차 도봉 쌍문동 삼익세라믹아파트 담보대출#2순위","수익률(연)8%?투자기간6개월?등급A2?모집금액2,500만원?투자인원61명",1215,"도봉","쌍문동",2,1,8,6,"A2",2500,61,"상환완료"
"제1214차 안양 석수동 석수엘지빌리지아파트 담보대출#2순위","수익률(연)8%?투자기간6개월?등급A2?모집금액5,000만원?투자인원127명",1214,"안양","석수동",2,1,8,6,"A2",5000,127,"상환완료"
"제1213차 서대문구 북아현동 아현푸르지오아파트 담보대출#2순위","수익률(연)8%?투자기간6개월?등급A2?모집금액5,000만원?투자인원87명",1213,"서대문구","북아현동",2,1,8,6,"A2",5000,87,"상환완료"
"제1211차 제주시내 근교 다세대 신축사업 13차#1순위","수익률(연)12.9%?투자기간2개월?등급B2?모집금액2억원?투자인원321명",1211,"제주시내","근교",1,13,12.9,2,"B2",20000,321,"상환완료"
"제1209차 용인 메종 포레스트 타운하우스 C 신축 12차#1순위","수익률(연)12.42%?투자기간3개월?등급B2?모집금액6,300만원?투자인원145명",1209,"용인","메종",1,12,12.42,3,"B2",6300,145,"상환완료"
"제1208차 인천 송도동 송도더샵마스터뷰아파트 리파이낸싱#1순위","수익률(연)9%?투자기간6개월?등급A2?모집금액1억원?투자인원108명",1208,"인천","송도동",1,1,9,6,"A2",10000,108,"상환완료"
"제1207차 강동 강일동 강일리버파크 담보대출#3순위","수익률(연)8.2%?투자기간6개월?등급A2?모집금액6,000만원?투자인원135명",1207,"강동","강일동",3,1,8.2,6,"A2",6000,135,"상환완료"
"제1206차 분당 운중동 산운마을아파트 담보대출#2순위","수익률(연)8%?투자기간6개월?등급A2?모집금액1억원?투자인원174명",1206,"분당","운중동",2,1,8,6,"A2",10000,174,"상환완료"
"제1205차 영등포 영등포동 두산위브아파트 담보대출#2순위","수익률(연)8%?투자기간6개월?등급A2?모집금액5,000만원?투자인원100명",1205,"영등포","영등포동",2,1,8,6,"A2",5000,100,"상환완료"
"제1203차 진안군청 인근 연립주택 신축사업 7차#1순위","수익률(연)12.28%?투자기간8개월?등급B1?모집금액3억원?투자인원499명",1203,"진안군청","인근",1,7,12.28,8,"B1",30000,499,"상환완료"
"제1202차 용인 메종 포레스트 타운하우스 B 신축 리파이낸싱 7차#1순위","수익률(연)12.84%?투자기간3개월?등급B3?모집금액3억5,000만원?투자인원617명",1202,"용인","메종",1,7,12.84,3,"B3",35000,617,"상환완료"
"제1200차 용인 메종 포레스트 타운하우스 A 신축 리파이낸싱 6차#1순위","수익률(연)12.56%?투자기간3개월?등급B2?모집금액3억4,000만원?투자인원716명",1200,"용인","메종",1,6,12.56,3,"B2",34000,716,"상환완료"
"제1198차 동작 사당동 극동아파트 리파이낸싱#2순위","수익률(연)9%?투자기간6개월?등급A3?모집금액1억2,000만원?투자인원202명",1198,"동작","사당동",2,1,9,6,"A3",12000,202,"상환완료"
"제1196차 송파 문정동 삼익빌라 담보대출#2순위","수익률(연)8.2%?투자기간6개월?등급A2?모집금액1억원?투자인원195명",1196,"송파","문정동",2,1,8.2,6,"A2",10000,195,"상환완료"
"제1195차 강서 마곡동 후포아파트 담보대출#2순위","수익률(연)8%?투자기간6개월?등급A2?모집금액8,000만원?투자인원255명",1195,"강서","마곡동",2,1,8,6,"A2",8000,255,"상환완료"
"제1192차 용인 메종 포레스트 타운하우스 A 신축 11차#1순위","수익률(연)12.56%?투자기간3개월?등급B2?모집금액1억원?투자인원163명",1192,"용인","메종",1,11,12.56,3,"B2",10000,163,"상환완료"
"제1191차 용인 메종 포레스트 타운하우스 B 신축 13차#1순위","수익률(연)12.84%?투자기간3개월?등급B3?모집금액2,000만원?투자인원53명",1191,"용인","메종",1,13,12.84,3,"B3",2000,53,"상환완료"
"제1189차 수원 이의동 광교캠퍼스타운참누리 담보대출#2순위","수익률(연)8%?투자기간12개월?등급A2?모집금액1억원?투자인원230명",1189,"수원","이의동",2,1,8,12,"A2",10000,230,"상환완료"
"제1188차 서초 서초동 로얄파크빌라트 담보대출#3순위","수익률(연)8.9%?투자기간12개월?등급A3?모집금액3,000만원?투자인원68명",1188,"서초","서초동",3,1,8.9,12,"A3",3000,68,"상환완료"
"제1182차 강남 역삼동 일건빌라 리파이낸싱#2순위","수익률(연)9%?투자기간6개월?등급A2?모집금액1억5,000만원?투자인원290명",1182,"강남","역삼동",2,1,9,6,"A2",15000,290,"상환완료"
"제1181차 강동 암사동 프라이어팰리스아파트 리파이낸싱#2순위","수익률(연)8.5%?투자기간6개월?등급A2?모집금액1억5,000만원?투자인원277명",1181,"강동","암사동",2,1,8.5,6,"A2",15000,277,"상환완료"
"제1179차 청라국제도시 근린생활시설 신축사업 9차#2순위","수익률(연)15%?투자기간7개월?등급D2?모집금액7억1,050만원?투자인원1,287명",1179,"청라국제도시","근린생활시설",2,9,15,7,"D2",71050,1287,"상환완료"
"제1177차 수원 북수동 상가주택 신축사업B 2차#2순위","수익률(연)15%?투자기간8개월?등급D2?모집금액2억1,000만원?투자인원356명",1177,"수원","북수동",2,2,15,8,"D2",21000,356,"상환완료"
"제1175차 노원 하계동 현대아파트 리파이낸싱#3순위","수익률(연)9.5%?투자기간6개월?등급A3?모집금액8,000만원?투자인원118명",1175,"노원","하계동",3,1,9.5,6,"A3",8000,118,"상환완료"
"제1171차 강동 둔촌동 신성둔촌미소지움 아파트 리파이낸싱#2순위","수익률(연)9%?투자기간6개월?등급A2?모집금액3억원?투자인원480명",1171,"강동","둔촌동",2,1,9,6,"A2",30000,480,"상환완료"
"제1168차 캠프 험프리 미군 렌탈하우스C 신축사업 16차#1순위","수익률(연)13.1%?투자기간4개월?등급C1?모집금액1억원?투자인원172명",1168,"캠프","험프리",1,16,13.1,4,"C1",10000,172,"상환완료"
"제1164차 성동 금호동 금호자이1차아파트 리파이낸싱#2순위","수익률(연)9%?투자기간6개월?등급A2?모집금액1억원?투자인원101명",1164,"성동","금호동",2,1,9,6,"A2",10000,101,"상환완료"
"제1163차 하남 덕풍동 풍산아이파크 리파이낸싱#1순위","수익률(연)9.5%?투자기간6개월?등급A3?모집금액9,000만원?투자인원138명",1163,"하남","덕풍동",1,1,9.5,6,"A3",9000,138,"상환완료"
"제1159차 성남 금곡동 청솔마을 리파이낸싱#2순위","수익률(연)9%?투자기간6개월?등급A2?모집금액1억원?투자인원223명",1159,"성남","금곡동",2,1,9,6,"A2",10000,223,"상환완료"
"제1158차 송파 잠실동 잠실주공아파트 담보대출#3순위","수익률(연)8%?투자기간12개월?등급A2?모집금액1억원?투자인원237명",1158,"송파","잠실동",3,1,8,12,"A2",10000,237,"상환완료"
"제1157차 종로 무악동 현대아파트 리파이낸싱#2순위","수익률(연)9%?투자기간6개월?등급A2?모집금액5,000만원?투자인원65명",1157,"종로","무악동",2,1,9,6,"A2",5000,65,"상환완료"
"제1156차 서산 테크노밸리 근린생활시설 신축사업 25차#1순위","수익률(연)14.5%?투자기간9개월?등급C3?모집금액3억원?투자인원546명",1156,"서산","테크노밸리",1,25,14.5,9,"C3",30000,546,"상환완료"
"제1154차 서울 동선동5가 다세대 신축사업 9차#2순위","수익률(연)15%?투자기간10개월?등급D2?모집금액1억5,000만원?투자인원298명",1154,"서울","동선동5가",2,9,15,10,"D2",15000,298,"상환완료"
"제1151차 수원 북수동 상가주택 신축사업A 2차#2순위","수익률(연)15%?투자기간9개월?등급D2?모집금액2억원?투자인원411명",1151,"수원","북수동",2,2,15,9,"D2",20000,411,"상환완료"
"제1149차 하남 덕풍동 풍산아이파크 담보대출#4순위","수익률(연)9.5%?투자기간12개월?등급A3?모집금액8,500만원?투자인원161명",1149,"하남","덕풍동",4,1,9.5,12,"A3",8500,161,"상환완료"
"제1145차 양천 신정동 목동신시가지 리파이낸싱#2순위","수익률(연)9%?투자기간6개월?등급A2?모집금액1억8,000만원?투자인원272명",1145,"양천","신정동",2,1,9,6,"A2",18000,272,"상환완료"
"제1142차 용인 메종 포레스트 타운하우스 A 신축 리파이낸싱 4차#1순위","수익률(연)12.56%?투자기간3개월?등급B2?모집금액2억원?투자인원317명",1142,"용인","메종",1,4,12.56,3,"B2",20000,317,"상환완료"
"제1139차 제주 신화월드 인근 공동주택 신축사업 15차#1순위","수익률(연)12.21%?투자기간8개월?등급B1?모집금액11억원?투자인원1,944명",1139,"제주","신화월드",1,15,12.21,8,"B1",110000,1944,"상환완료"
"제1138차 양평역 인근 다세대 신축사업 4차#1순위","수익률(연)13%?투자기간7개월?등급C1?모집금액2억5,000만원?투자인원513명",1138,"양평역","인근",1,4,13,7,"C1",25000,513,"상환완료"
"제1137차 광진 광장동 청구아파트 담보대출#2순위","수익률(연)8%?투자기간12개월?등급A2?모집금액1억원?투자인원141명",1137,"광진","광장동",2,1,8,12,"A2",10000,141,"상환완료"
"제1136차 강남 청담동 공동주택 신축사업 6차#1순위","수익률(연)11.7%?투자기간7개월?등급A3?모집금액1억5,000만원?투자인원234명",1136,"강남","청담동",1,6,11.7,7,"A3",15000,234,"상환완료"
"제1135차 서귀포 산방산 타운하우스 신축사업 4차#1순위","수익률(연)12.77%?투자기간9개월?등급B3?모집금액4억5,000만원?투자인원889명",1135,"서귀포","산방산",1,4,12.77,9,"B3",45000,889,"상환완료"
"제1133차 이천 창전동 오피스텔 신축사업 36차#1순위","수익률(연)13%?투자기간7개월?등급C1?모집금액4억7,000만원?투자인원964명",1133,"이천","창전동",1,36,13,7,"C1",47000,964,"상환완료"
"제1130차 영등포 두산위브아파트 담보대출#2순위","수익률(연)8%?투자기간12개월?등급A2?모집금액1억원?투자인원166명",1130,"영등포","두산위브아파트",2,1,8,12,"A2",10000,166,"상환완료"
"제1124차 일산 풍동 애니아트힐즈 주택 및 근생부지 조성사업 2순위 2차#2순위","수익률(연)16%?투자기간8개월?등급D2?모집금액5억490만원?투자인원970명",1124,"일산","풍동",2,2,16,8,"D2",5490,970,"상환완료"
"제1122차 주택담보부 근질권 대출 2호#2순위","수익률(연)8%?투자기간12개월?등급A2?모집금액3억8,000만원?투자인원603명",1122,"주택담보부","근질권",2,2,8,12,"A2",38000,603,"상환완료"
"제1117차 진안군청 인근 연립주택 신축사업 6차#1순위","수익률(연)12.28%?투자기간9개월?등급B1?모집금액2억5,000만원?투자인원453명",1117,"진안군청","인근",1,6,12.28,9,"B1",25000,453,"상환완료"
"제1116차 평택 국가산업단지 인근 다세대 신축사업 11차#1순위","수익률(연)12.77%?투자기간2개월?등급B3?모집금액2억원?투자인원223명",1116,"평택","국가산업단지",1,11,12.77,2,"B3",20000,223,"상환완료"
"제1115차 인천 용현동 오피스텔 및 근린상가 신축사업 9차#1순위","수익률(연)12%?투자기간10개월?등급B1?모집금액5억원?투자인원836명",1115,"인천","용현동",1,9,12,10,"B1",50000,836,"상환완료"
"제1114차 진안군청 인근 연립주택 신축사업 5차#1순위","수익률(연)12.28%?투자기간9개월?등급B1?모집금액2억원?투자인원396명",1114,"진안군청","인근",1,5,12.28,9,"B1",20000,396,"상환완료"
"제1112차 합천아파트 신축사업 23차#1순위","수익률(연)12.98%?투자기간7개월?등급B2?모집금액2억원?투자인원320명",1112,"합천아파트","신축사업",1,23,12.98,7,"B2",20000,320,"상환완료"
"제1111차 아산 유신빌딩 2순위 담보대출 19차#2순위","수익률(연)13.5%?투자기간2개월?등급C2?모집금액6,000만원?투자인원98명",1111,"아산","유신빌딩",2,19,13.5,2,"C2",6000,98,"상환완료"
"제1110차 당진 읍내동 H타워 신축사업 3순위 2차#3순위","수익률(연)15%?투자기간9개월?등급D2?모집금액10억9,700만원?투자인원1,983명",1110,"당진","읍내동",3,2,15,9,"D2",109700,1983,"상환완료"
"제1107차 성남 수내동 푸른마을신성아파트 리파이낸싱#2순위","수익률(연)9%?투자기간6개월?등급A2?모집금액1억원?투자인원168명",1107,"성남","수내동",2,1,9,6,"A2",10000,168,"상환완료"
"제1104차 청라국제도시 근린생활시설 신축사업 7차#2순위","수익률(연)15%?투자기간8개월?등급D2?모집금액15억3,700만원?투자인원2,375명",1104,"청라국제도시","근린생활시설",2,7,15,8,"D2",153700,2375,"상환완료"
"제1102차 용인 마북동 토지담보대출#1순위","수익률(연)12%?투자기간8개월?등급B1?모집금액3억3,000만원?투자인원381명",1102,"용인","마북동",1,1,12,8,"B1",33000,381,"상환완료"
"제1099차 송파 잠실동 트리지움 담보대출#3순위","수익률(연)8.2%?투자기간12개월?등급A2?모집금액1억원?투자인원118명",1099,"송파","잠실동",3,1,8.2,12,"A2",10000,118,"상환완료"
"제1094차 이천 창전동 오피스텔 신축사업 35차#1순위","수익률(연)13%?투자기간7개월?등급C1?모집금액1억원?투자인원83명",1094,"이천","창전동",1,35,13,7,"C1",10000,83,"상환완료"
"제1092차 용인 메종 포레스트 타운하우스 A 신축 리파이낸싱 2차#1순위","수익률(연)12.56%?투자기간4개월?등급B2?모집금액2억원?투자인원317명",1092,"용인","메종",1,2,12.56,4,"B2",20000,317,"상환완료"
"제1090차 마포 공덕동 한화꿈에그린 리파이낸싱#2순위","수익률(연)9%?투자기간6개월?등급A2?모집금액1억4,000만원?투자인원235명",1090,"마포","공덕동",2,1,9,6,"A2",14000,235,"상환완료"
"제1089차 성남 서현동 한양아파트 리파이낸싱#2순위","수익률(연)9.5%?투자기간6개월?등급A3?모집금액1억1,000만원?투자인원200명",1089,"성남","서현동",2,1,9.5,6,"A3",11000,200,"상환완료"
"제1088차 용인 메종 포레스트 타운하우스 B 신축 리파이낸싱 4차#1순위","수익률(연)12.84%?투자기간4개월?등급B3?모집금액2억7,500만원?투자인원366명",1088,"용인","메종",1,4,12.84,4,"B3",27500,366,"상환완료"
"제1086차 용산 신계동 이편한세상 담보대출#3순위","수익률(연)8%?투자기간12개월?등급A2?모집금액2억5,000만원?투자인원492명",1086,"용산","신계동",3,1,8,12,"A2",25000,492,"상환완료"
"제1085차 남양주 와부읍 덕소아이파크 리파이낸싱#2순위","수익률(연)9%?투자기간6개월?등급A2?모집금액7,000만원?투자인원96명",1085,"남양주","와부읍",2,1,9,6,"A2",7000,96,"상환완료"
"제1084차 남양주시 호평동 공동주택 신축사업#1순위","수익률(연)11.9%?투자기간11개월?등급A3?모집금액4억원?투자인원644명",1084,"남양주시","호평동",1,1,11.9,11,"A3",40000,644,"상환완료"
"제1083차 인천 주안역 해경스테이 4차 신축사업 6차#1순위","수익률(연)12.06%?투자기간8개월?등급B1?모집금액2억5,000만원?투자인원363명",1083,"인천","주안역",1,6,12.06,8,"B1",25000,363,"상환완료"
"제1082차 인천 주안동 생활형숙박시설 신축사업 5차#1순위","수익률(연)12.56%?투자기간7개월?등급B2?모집금액3억원?투자인원509명",1082,"인천","주안동",1,5,12.56,7,"B2",30000,509,"상환완료"
"제1080차 합천아파트 신축사업 22차#1순위","수익률(연)12.98%?투자기간8개월?등급B2?모집금액3억원?투자인원444명",1080,"합천아파트","신축사업",1,22,12.98,8,"B2",30000,444,"상환완료"
"제1078차 제주 신화월드 인근 공동주택 신축사업 14차#1순위","수익률(연)12.21%?투자기간9개월?등급B1?모집금액1억원?투자인원114명",1078,"제주","신화월드",1,14,12.21,9,"B1",10000,114,"상환완료"
"제1077차 양천 신정동 푸른마을4단지 담보대출 리파이낸싱#2순위","수익률(연)9%?투자기간6개월?등급A2?모집금액1억4,000만원?투자인원209명",1077,"양천","신정동",2,1,9,6,"A2",14000,209,"상환완료"
"제1076차 안양 평촌동 초원세경아파트 담보대출#2순위","수익률(연)8%?투자기간12개월?등급A2?모집금액9,000만원?투자인원184명",1076,"안양","평촌동",2,1,8,12,"A2",9000,184,"상환완료"
"제1074차 서울 동선동 5가 다세대 신축사업 8차#2순위","수익률(연)15%?투자기간10개월?등급D2?모집금액1억5,000만원?투자인원165명",1074,"서울","동선동",2,8,15,10,"D2",15000,165,"상환완료"
"제1071차 동대문 답십리동 신답경남아파트 담보대출#2순위","수익률(연)8%?투자기간12개월?등급A2?모집금액1억5,000만원?투자인원232명",1071,"동대문","답십리동",2,1,8,12,"A2",15000,232,"상환완료"
"제1068차 이천 신둔도예촌역 인근 다세대 신축사업 2순위#2순위","수익률(연)16%?투자기간10개월?등급D2?모집금액4억5,000만원?투자인원615명",1068,"이천","신둔도예촌역",2,2,16,10,"D2",45000,615,"상환완료"
"제1066차 강서 마곡동 마곡엠벨리 담보대출#2순위","수익률(연)8%?투자기간12개월?등급A2?모집금액8,000만원?투자인원129명",1066,"강서","마곡동",2,1,8,12,"A2",8000,129,"상환완료"
"제1065차 제주 신화월드 인근 공동주택 신축사업 13차#1순위","수익률(연)12.21%?투자기간9개월?등급B1?모집금액8억원?투자인원965명",1065,"제주","신화월드",1,13,12.21,9,"B1",80000,965,"상환완료"
"제1064차 캠프 험프리 미군 렌탈하우스C 신축사업 15차#1순위","수익률(연)13.1%?투자기간5개월?등급C1?모집금액1억원?투자인원145명",1064,"캠프","험프리",1,15,13.1,5,"C1",10000,145,"상환완료"
"제1061차 제주 아라일동 다세대 신축공사 4차#2순위","수익률(연)15%?투자기간8개월?등급D2?모집금액3억5,000만원?투자인원324명",1061,"제주","아라일동",2,4,15,8,"D2",35000,324,"상환완료"
"제1060차 용인 메종 포레스트 타운하우스 C 신축 11차#1순위","수익률(연)12.42%?투자기간4개월?등급B2?모집금액2억원?투자인원258명",1060,"용인","메종",1,11,12.42,4,"B2",20000,258,"상환완료"
"제1059차 용인 메종 포레스트 타운하우스 D 신축 9차#1순위","수익률(연)12.42%?투자기간4개월?등급B2?모집금액2억1,200만원?투자인원286명",1059,"용인","메종",1,9,12.42,4,"B2",21200,286,"상환완료"
"제1055차 강남 개포동 대치아파트 담보대출#1순위","수익률(연)8%?투자기간12개월?등급A2?모집금액1억5,000만원?투자인원170명",1055,"강남","개포동",1,1,8,12,"A2",15000,170,"상환완료"
"제1053차 가평 조종초등학교 인근 리버빌 2차 신축사업 13차#1순위","수익률(연)13%?투자기간7개월?등급B3?모집금액2억원?투자인원220명",1053,"가평","조종초등학교",1,13,13,7,"B3",20000,220,"상환완료"
"제1052차 캠프 험프리 미군 렌탈하우스B 신축사업 16차#1순위","수익률(연)13.3%?투자기간4개월?등급C1?모집금액2억원?투자인원245명",1052,"캠프","험프리",1,16,13.3,4,"C1",20000,245,"상환완료"
"제1051차 캠프 험프리 미군 렌탈하우스A 신축사업 17차#1순위","수익률(연)13.1%?투자기간3개월?등급C1?모집금액1억원?투자인원123명",1051,"캠프","험프리",1,17,13.1,3,"C1",10000,123,"상환완료"
"제1050차 가평 맹호부대 인근 다세대주택 신축사업 17차#1순위","수익률(연)12.91%?투자기간5개월?등급B3?모집금액5,000만원?투자인원66명",1050,"가평","맹호부대",1,17,12.91,5,"B3",5000,66,"상환완료"
"제1049차 해운대구 우동 두산위브더제니스 담보대출#2순위","수익률(연)9%?투자기간12개월?등급A3?모집금액1억7,000만원?투자인원213명",1049,"해운대구","우동",2,1,9,12,"A3",17000,213,"상환완료"
"제1046차 성북 길음동 길음뉴타운 담보대출#2순위","수익률(연)8%?투자기간12개월?등급A2?모집금액5,000만원?투자인원87명",1046,"성북","길음동",2,1,8,12,"A2",5000,87,"상환완료"
"제1045차 대전 호동 다가구 신축사업 4차#2순위","수익률(연)16%?투자기간9개월?등급D3?모집금액1억2,000만원?투자인원104명",1045,"대전","호동",2,4,16,9,"D3",12000,104,"상환완료"
"제1044차 이천 신둔도예촌역 인근 다세대 신축사업 8차#1순위","수익률(연)14%?투자기간6개월?등급B2?모집금액1억7,000만원?투자인원192명",1044,"이천","신둔도예촌역",1,8,14,6,"B2",17000,192,"상환완료"
"제1043차 구로 구로동 일신건영아파트 담보대출#2순위","수익률(연)9.5%?투자기간12개월?등급A3?모집금액1억2,500만원?투자인원143명",1043,"구로","구로동",2,1,9.5,12,"A3",12500,143,"상환완료"
"제1042차 양평역 인근 다세대 신축사업 3차#1순위","수익률(연)13%?투자기간8개월?등급C1?모집금액2억5,000만원?투자인원512명",1042,"양평역","인근",1,3,13,8,"C1",25000,512,"상환완료"
"제1040차 수원 북수동 상가주택 신축사업A#2순위","수익률(연)15%?투자기간10개월?등급D2?모집금액2억원?투자인원233명",1040,"수원","북수동",2,1,15,10,"D2",20000,233,"상환완료"
"제1039차 광진 자양동 트라팰리스 담보대출#2순위","수익률(연)8%?투자기간12개월?등급A2?모집금액5,000만원?투자인원117명",1039,"광진","자양동",2,1,8,12,"A2",5000,117,"상환완료"
"제1034차 가평군청 인근 다세대 신축사업 3차#1순위","수익률(연)12.5%?투자기간8개월?등급B2?모집금액2억5,000만원?투자인원466명",1034,"가평군청","인근",1,3,12.5,8,"B2",25000,466,"상환완료"
"제1033차 오산 부산동 오산시티자이2단지 담보대출#2순위","수익률(연)9.5%?투자기간12개월?등급A3?모집금액5,000만원?투자인원125명",1033,"오산","부산동",2,1,9.5,12,"A3",5000,125,"상환완료"
"제1032차 송파 신천동 파크리오 담보대출#2순위","수익률(연)9%?투자기간12개월?등급A2?모집금액2억8,000만원?투자인원450명",1032,"송파","신천동",2,1,9,12,"A2",28000,450,"상환완료"
"제1031차 수원 이의동 광교e편한세상 아파트 담보대출#1순위","수익률(연)9%?투자기간12개월?등급A2?모집금액1억원?투자인원160명",1031,"수원","이의동",1,1,9,12,"A2",10000,160,"상환완료"
"제1030차 강남 세곡동 다세대 신축사업 8차#1순위","수익률(연)11.7%?투자기간2개월?등급A3?모집금액3,200만원?투자인원60명",1030,"강남","세곡동",1,8,11.7,2,"A3",3200,60,"상환완료"
"제1029차 대구 범어동 범어월드메르디앙웨스턴카운티 담보대출#2순위","수익률(연)8%?투자기간12개월?등급A2?모집금액1억5,000만원?투자인원325명",1029,"대구","범어동",2,1,8,12,"A2",15000,325,"상환완료"
"제1028차 진안군청 인근 연립주택 신축사업 4차#1순위","수익률(연)12.28%?투자기간10개월?등급B1?모집금액2억원?투자인원356명",1028,"진안군청","인근",1,4,12.28,10,"B1",20000,356,"상환완료"
"제1026차 청라국제도시 근린생활시설 신축사업 4차#2순위","수익률(연)15%?투자기간9개월?등급D2?모집금액4억3,500만원?투자인원647명",1026,"청라국제도시","근린생활시설",2,4,15,9,"D2",43500,647,"상환완료"
"제1025차 인천 용현동 오피스텔 및 근린상가 신축사업 8차#1순위","수익률(연)12%?투자기간11개월?등급B1?모집금액4억5,000만원?투자인원738명",1025,"인천","용현동",1,8,12,11,"B1",45000,738,"상환완료"
"제1023차 가평 맹호부대 인근 다세대주택 신축사업 16차#1순위","수익률(연)12.91%?투자기간6개월?등급B3?모집금액3억5,000만원?투자인원616명",1023,"가평","맹호부대",1,16,12.91,6,"B3",35000,616,"상환완료"
"제1022차 동작 신대방동 우성파크빌라 담보대출#2순위","수익률(연)9.3%?투자기간12개월?등급A2?모집금액1억원?투자인원187명",1022,"동작","신대방동",2,1,9.3,12,"A2",10000,187,"상환완료"
"제1018차 서울 잠원동 보미리전빌 담보대출#2순위","수익률(연)8.5%?투자기간12개월?등급A1?모집금액1억원?투자인원161명",1018,"서울","잠원동",2,1,8.5,12,"A1",10000,161,"상환완료"
"제1009차 제주 올레시장 생활형숙박시설 신축사업 8차#1순위","수익률(연)12.49%?투자기간9개월?등급B2?모집금액1억원?투자인원194명",1009,"제주","올레시장",1,8,12.49,9,"B2",10000,194,"상환완료"
"제1008차 진안군청 인근 연립주택 신축사업 3차#1순위","수익률(연)12.28%?투자기간10개월?등급B1?모집금액1억5,000만원?투자인원248명",1008,"진안군청","인근",1,3,12.28,10,"B1",15000,248,"상환완료"
"제1007차 가평 조종초등학교 인근 리버빌 2차 신축사업 12차#1순위","수익률(연)13%?투자기간8개월?등급B3?모집금액2억5,000만원?투자인원502명",1007,"가평","조종초등학교",1,12,13,8,"B3",25000,502,"상환완료"
"제1006차 합천아파트 신축사업 21차#1순위","수익률(연)12.98%?투자기간9개월?등급B2?모집금액2억원?투자인원399명",1006,"합천아파트","신축사업",1,21,12.98,9,"B2",20000,399,"상환완료"
"제1005차 제주 올레시장 생활형숙박시설 신축사업 7차#1순위","수익률(연)12.49%?투자기간9개월?등급B2?모집금액4억원?투자인원750명",1005,"제주","올레시장",1,7,12.49,9,"B2",40000,750,"상환완료"
"제1004차 이천 신둔도예촌역 인근 다세대 신축사업 7차#1순위","수익률(연)14%?투자기간7개월?등급B2?모집금액1억원?투자인원155명",1004,"이천","신둔도예촌역",1,7,14,7,"B2",10000,155,"상환완료"
"제1002차 서울 봉천동 두산아파트 담보대출#2순위","수익률(연)9%?투자기간12개월?등급A2?모집금액1억3,000만원?투자인원253명",1002,"서울","봉천동",2,1,9,12,"A2",13000,253,"상환완료"
"제1000차 진안군청 인근 연립주택 신축사업 2차#1순위","수익률(연)12.28%?투자기간10개월?등급B1?모집금액10억원?투자인원1,829명",1000,"진안군청","인근",1,2,12.28,10,"B1",1e+05,1829,"상환완료"
"제998차 서울 용산동 다가구주택 담보대출#2순위","수익률(연)9.5%?투자기간12개월?등급A3?모집금액7,000만원?투자인원134명",998,"서울","용산동",2,1,9.5,12,"A3",7000,134,"상환완료"
"제997차 하남 덕풍동 풍산아이파크 아파트 담보대출#3순위","수익률(연)9.5%?투자기간12개월?등급A3?모집금액3,500만원?투자인원13명",997,"하남","덕풍동",3,1,9.5,12,"A3",3500,13,"상환완료"
"제996차 이천 창전동 오피스텔 신축사업 34차#1순위","수익률(연)13%?투자기간9개월?등급C1?모집금액8억원?투자인원1,670명",996,"이천","창전동",1,34,13,9,"C1",80000,1670,"상환완료"
"제995차 용인 메종 포레스트 타운하우스 C 신축 10차#1순위","수익률(연)12.42%?투자기간5개월?등급B2?모집금액2억원?투자인원354명",995,"용인","메종",1,10,12.42,5,"B2",20000,354,"상환완료"
"제994차 용인 메종 포레스트 타운하우스 B 신축 11차#1순위","수익률(연)12.84%?투자기간5개월?등급B3?모집금액1억3,000만원?투자인원233명",994,"용인","메종",1,11,12.84,5,"B3",13000,233,"상환완료"
"제992차 강남 대치동 삼성래미안 아파트 담보대출#3순위","수익률(연)9%?투자기간12개월?등급A2?모집금액5,000만원?투자인원102명",992,"강남","대치동",3,1,9,12,"A2",5000,102,"상환완료"
"제991차 진안군청 인근 연립주택 신축사업 1차#1순위","수익률(연)12.28%?투자기간10개월?등급B1?모집금액10억원?투자인원2,138명",991,"진안군청","인근",1,1,12.28,10,"B1",1e+05,2138,"상환완료"
"제990차 용인 메종 포레스트 타운하우스 A 신축 9차#1순위","수익률(연)12.56%?투자기간5개월?등급B2?모집금액4억원?투자인원566명",990,"용인","메종",1,9,12.56,5,"B2",40000,566,"상환완료"
"제989차 용인 메종 포레스트 타운하우스 D 신축 7차#1순위","수익률(연)12.42%?투자기간5개월?등급B2?모집금액1억5,000만원?투자인원272명",989,"용인","메종",1,7,12.42,5,"B2",15000,272,"상환완료"
"제987차 구로 신도림동 e편한세상 담보대출 리파이낸싱#2순위","수익률(연)9%?투자기간6개월?등급A2?모집금액1억원?투자인원155명",987,"구로","신도림동",2,1,9,6,"A2",10000,155,"상환완료"
"제980차 서울 진관동 은평뉴타운제각말 푸르지오 아파트 담보대출#2순위","수익률(연)9%?투자기간6개월?등급A2?모집금액7,000만원?투자인원122명",980,"서울","진관동",2,1,9,6,"A2",7000,122,"상환완료"
"제978차 용인 메종 포레스트 타운하우스 B 신축 리파이낸싱 1차#1순위","수익률(연)12.84%?투자기간5개월?등급B3?모집금액10억4,500만원?투자인원1,870명",978,"용인","메종",1,1,12.84,5,"B3",104500,1870,"상환완료"
"제977차 인천 주안역 해경스테이 4차 신축사업 5차#1순위","수익률(연)12.06%?투자기간10개월?등급B1?모집금액2억원?투자인원413명",977,"인천","주안역",1,5,12.06,10,"B1",20000,413,"상환완료"
