"번호","지역","지역2","순위","차수","리파이낸싱","신축","다세대","타운하우스","건축자금","담보","NPL","근질권","ABL","주택","오피스텔","신도시","개발지구","마을","아파트","빌딩","빌라","상가","단독주택","수익률","투자기간","등급","모집금액","투자인원","Y"
33,"마포","신수동",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,9,"A3",110000,138,"0"
32,"부산","영어도시퀸덤1차",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,3,"B3",5000,3,"0"
31,"노원","수익형다가구",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,"B1",22500,12,"0"
29,"중동","리슈빌엔클라스",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,24,"D2",1200,8,"0"
28,"수원","정자동",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.41,7,"B2",82000,104,"0"
27,"아산시청","인근",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.1,6,"A3",1e+05,107,"0"
26,"양주","노블리안",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,12,"C2",1500,10,"0"
24,"김해","도로보상",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,"C3",4300,9,"0"
23,"평택","청북지구",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,5,"B3",7000,2,"0"
22,"광진구","광장동",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,4,"C1",2000,1,"0"
19,"평택","아파트상가",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,15,5,"B3",37000,19,"0"
18,"양주","옥정신도시",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,5,"C1",16000,9,"0"
17,"당진","12세대",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,4,"B2",70000,19,"0"
16,"일산","행신동",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,11,"D2",3000,3,"0"
15,"울산","전원주택부지",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,1,"B1",20000,8,"0"
14,"방배동","다가구주택",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,"B3",10000,6,"0"
10,"해운대","빌라",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,12,"C2",18000,9,"0"
8,"양산","단독주택",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,12,3,"C1",15000,10,"0"
7,"태백","24세대",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,2,"B2",1e+05,33,"0"
6,"함안","빌라부지",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,10,"C1",10000,6,"0"
5,"상주","과수원",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,"B3",1000,1,"0"
4,"부산역","인근",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,9,"B3",10000,4,"0"
3,"파주","빌라",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25,12,"A3",31000,9,"0"
2,"부산","엄궁푸르지오",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,8,"B1",17000,7,"0"
